synthetic_question_id,real_content_id
T1_LO1_D1_Q1,real_prob_655
T1_LO1_D1_Q2,real_read_705
T1_LO1_D1_Q3,real_prob_1144
T1_LO1_D1_Q4,real_prob_15
T1_LO1_D1_Q5,real_vid_454
T1_LO1_D1_Q6,real_vid_757
T1_LO1_D1_Q7,real_vid_794
T1_LO1_D1_Q8,real_read_482
T1_LO1_D2_Q1,real_prob_205
T1_LO1_D2_Q2,real_vid_563
T1_LO1_D2_Q3,real_vid_585
T1_LO1_D2_Q4,real_prob_1635
T1_LO1_D2_Q5,real_prob_1937
T1_LO1_D2_Q6,real_prob_829
T1_LO1_D2_Q7,real_prob_1338
T1_LO1_D2_Q8,real_vid_760
T1_LO1_D3_Q1,real_read_976
T1_LO1_D3_Q2,real_prob_1408
T1_LO1_D3_Q3,real_read_957
T1_LO1_D3_Q4,real_vid_125
T1_LO1_D3_Q5,real_prob_911
T1_LO1_D3_Q6,real_vid_767
T1_LO1_D3_Q7,real_prob_1265
T1_LO1_D3_Q8,real_vid_557
T1_LO1_D4_Q1,real_read_22
T1_LO1_D4_Q2,real_prob_761
T1_LO1_D4_Q3,real_vid_299
T1_LO1_D4_Q4,real_prob_535
T1_LO1_D4_Q5,real_prob_214
T1_LO1_D4_Q6,real_prob_244
T1_LO1_D4_Q7,real_read_344
T1_LO1_D4_Q8,real_prob_102
T1_LO2_D1_Q1,real_vid_598
T1_LO2_D1_Q2,real_vid_120
T1_LO2_D1_Q3,real_vid_94
T1_LO2_D1_Q4,real_read_599
T1_LO2_D1_Q5,real_vid_105
T1_LO2_D1_Q6,real_read_133
T1_LO2_D1_Q7,real_prob_1178
T1_LO2_D1_Q8,real_read_802
T1_LO2_D2_Q1,real_prob_904
T1_LO2_D2_Q2,real_prob_753
T1_LO2_D2_Q3,real_vid_670
T1_LO2_D2_Q4,real_vid_779
T1_LO2_D2_Q5,real_prob_330
T1_LO2_D2_Q6,real_prob_308
T1_LO2_D2_Q7,real_vid_222
T1_LO2_D2_Q8,real_vid_533
T1_LO2_D3_Q1,real_prob_732
T1_LO2_D3_Q2,real_prob_1572
T1_LO2_D3_Q3,real_vid_906
T1_LO2_D3_Q4,real_vid_78
T1_LO2_D3_Q5,real_read_936
T1_LO2_D3_Q6,real_prob_1187
T1_LO2_D3_Q7,real_prob_1752
T1_LO2_D3_Q8,real_read_51
T1_LO2_D4_Q1,real_read_614
T1_LO2_D4_Q2,real_prob_909
T1_LO2_D4_Q3,real_vid_409
T1_LO2_D4_Q4,real_read_49
T1_LO2_D4_Q5,real_read_910
T1_LO2_D4_Q6,real_prob_295
T1_LO2_D4_Q7,real_vid_765
T1_LO2_D4_Q8,real_prob_714
T1_LO3_D1_Q1,real_prob_908
T1_LO3_D1_Q2,real_prob_105
T1_LO3_D1_Q3,real_read_12
T1_LO3_D1_Q4,real_vid_729
T1_LO3_D1_Q5,real_read_441
T1_LO3_D1_Q6,real_vid_455
T1_LO3_D1_Q7,real_prob_1585
T1_LO3_D1_Q8,real_prob_926
T1_LO3_D2_Q1,real_prob_1384
T1_LO3_D2_Q2,real_read_368
T1_LO3_D2_Q3,real_prob_1445
T1_LO3_D2_Q4,real_vid_591
T1_LO3_D2_Q5,real_prob_143
T1_LO3_D2_Q6,real_vid_113
